#time,accel_x,accel_y,accel_z
59435.045310,-222.061783,-9400.615463,842.705048
59435.045619,-148.041188,-9178.553681,995.924147
59435.045929,1998.556043,-10658.965565,2374.896044
59435.046239,-74.020594,-9474.636058,536.266849
59435.046548,-1480.411884,-7179.997637,0.000000
59435.046858,1776.494261,-11547.212695,2987.772442
59435.047168,-1554.432478,-7476.080014,0.000000
59435.047477,0.000000,-7476.080014,612.876398
59435.047787,-222.061783,-8068.244768,0.000000
59435.048096,-592.164754,-8956.491898,612.876398
59435.048406,-592.164754,-9104.533087,842.705048
59435.048716,-222.061783,-9104.533087,689.485948
59435.049025,962.267725,-11547.212695,3600.648841
59435.049335,-74.020594,-10658.965565,1762.019645
59435.049645,-74.020594,-8882.471304,-689.485948
59435.049954,0.000000,-9548.656652,1838.629195
59435.050264,-222.061783,-8734.430116,229.828649
59435.050574,-3552.988522,-5995.668130,0.000000
59435.050883,-74.020594,-9178.553681,842.705048
59435.051193,-518.144159,-9104.533087,919.314598
59435.051503,-148.041188,-9252.574275,1072.533697
59435.051812,-370.102971,-9104.533087,612.876398
59435.052122,0.000000,-10214.842000,2451.505594
59435.052431,1036.288319,-10066.800811,1991.848295
59435.052741,-74.020594,-10658.965565,-76.609550
59435.053051,-3552.988522,-7179.997637,0.000000
59435.053360,1406.391290,-10510.924376,2374.896044
59435.053670,-1258.350101,-6957.935855,-1608.800546
59435.053980,-74.020594,-10066.800811,1762.019645
59435.054289,-296.082377,-8956.491898,536.266849
59435.054599,-444.123565,-8956.491898,842.705048
59435.054909,-444.123565,-8956.491898,919.314598
59435.055218,0.000000,-7772.162391,1225.752797
59435.055528,-592.164754,-9548.656652,1838.629195
59435.055838,-74.020594,-11251.130318,2374.896044
59435.056147,-2960.823768,-6587.832884,0.000000
59435.056457,1110.308913,-10362.883188,2221.676944
59435.056766,-74.020594,-8882.471304,-383.047749
59435.057076,592.164754,-9696.697840,1302.362347
59435.057386,-74.020594,-9252.574275,995.924147
59435.057695,-222.061783,-9030.512492,842.705048
59435.058005,-296.082377,-9030.512492,689.485948
59435.058315,-2368.659014,-7179.997637,0.000000
59435.058624,0.000000,-8364.327145,612.876398
59435.058934,1036.288319,-10732.986159,3447.429741
59435.059244,-370.102971,-8290.306550,-76.609550
59435.059553,0.000000,-9548.656652,1378.971896
59435.059863,2294.638420,-11251.130318,-76.609550
59435.060173,-592.164754,-9252.574275,1225.752797
59435.060482,-74.020594,-9400.615463,1455.581446
59435.060792,-370.102971,-8882.471304,919.314598
59435.061102,-148.041188,-9030.512492,612.876398
59435.061411,-2146.597232,-7179.997637,0.000000
59435.061721,-1776.494261,-7772.162391,0.000000
59435.062030,296.082377,-10732.986159,3370.820191
59435.062340,-370.102971,-8290.306550,-229.828649
59435.062650,0.000000,-8956.491898,766.095498
59435.062959,1998.556043,-11547.212695,2987.772442
59435.063269,0.000000,-8660.409521,612.876398
59435.063579,-74.020594,-9326.594869,766.095498
59435.063888,-518.144159,-8882.471304,766.095498
59435.064198,-444.123565,-8882.471304,842.705048
59435.064508,-74.020594,-8660.409521,-689.485948
59435.064817,-1332.370696,-8512.368333,536.266849
59435.065127,-1184.329507,-9548.656652,2451.505594
59435.065437,-74.020594,-8882.471304,-76.609550
59435.065746,0.000000,-8956.491898,1225.752797
59435.066056,-1110.308913,-7179.997637,229.828649
59435.066365,-74.020594,-9104.533087,536.266849
59435.066675,-444.123565,-8734.430116,612.876398
59435.066985,-444.123565,-9326.594869,459.657299
