#time,accel_x,accel_y,accel_z
162527.648551,-666.185348,-9178.553681,-536.266849
162527.648866,74.020594,-9400.615463,0.000000
162527.649181,74.020594,-9252.574275,306.438199
162527.649496,2294.638420,-9474.636058,-76.609550
162527.649811,-74.020594,-8882.471304,-229.828649
162527.650125,-222.061783,-7994.224174,-1302.362347
162527.650440,0.000000,-7772.162391,0.000000
162527.650755,814.226536,-10214.842000,1762.019645
162527.651070,-74.020594,-9474.636058,-76.609550
162527.651385,-74.020594,-10214.842000,1072.533697
162527.651699,-666.185348,-9178.553681,306.438199
162527.652014,-592.164754,-9474.636058,153.219100
162527.652329,-740.205942,-9326.594869,-536.266849
162527.652644,-74.020594,-11251.130318,-76.609550
162527.652959,-666.185348,-9844.739029,-76.609550
162527.653273,-3552.988522,-7179.997637,-2451.505594
162527.653588,-74.020594,-10658.965565,-76.609550
162527.653903,-962.267725,-9178.553681,-1302.362347
162527.654218,0.000000,-9548.656652,0.000000
162527.654533,-296.082377,-9178.553681,-229.828649
162527.654848,-592.164754,-9400.615463,-536.266849
162527.655162,-222.061783,-9400.615463,-153.219100
162527.655477,-222.061783,-8956.491898,-76.609550
162527.655792,0.000000,-7772.162391,0.000000
162527.656107,-3256.906145,-7179.997637,0.000000
162527.656422,1702.473667,-10658.965565,-76.609550
162527.656736,-370.102971,-8586.388927,-536.266849
162527.657051,0.000000,-7179.997637,0.000000
162527.657366,-1480.411884,-7920.203579,-1225.752797
162527.657681,0.000000,-9548.656652,0.000000
162527.657996,0.000000,-8660.409521,229.828649
162527.658310,-296.082377,-8586.388927,76.609550
162527.658625,-2368.659014,-7772.162391,0.000000
162527.658940,1110.308913,-9548.656652,1991.848295
162527.659255,-74.020594,-10658.965565,1762.019645
162527.659570,-1480.411884,-8068.244768,-689.485948
162527.659884,-74.020594,-11843.295072,2374.896044
162527.660199,-74.020594,-8290.306550,-1302.362347
162527.660514,-74.020594,-10288.862594,1149.143247
162527.660829,-740.205942,-9326.594869,-689.485948
162527.661144,-444.123565,-9252.574275,-76.609550
162527.661458,-888.247130,-9104.533087,0.000000
162527.661773,1998.556043,-11843.295072,-76.609550
162527.662088,-666.185348,-8734.430116,-1225.752797
162527.662403,-1776.494261,-8364.327145,-1225.752797
162527.662718,1480.411884,-11399.171507,2068.457845
162527.663033,-74.020594,-9474.636058,-689.485948
162527.663347,0.000000,-8364.327145,0.000000
162527.663662,-1110.308913,-8512.368333,-1225.752797
162527.663977,-370.102971,-9178.553681,-306.438199
162527.664292,222.061783,-9474.636058,-76.609550
162527.664607,296.082377,-9326.594869,76.609550
